N/A	0	35
N/A	36	54
N/A	55	69
N/A	70	99
N/A	100	130
N/A	131	172
N/A	173	187
N/A	188	233
N/A	234	237
N/A	238	278
N/A	279	280
N/A	283	293
N/A	294	340
N/A	341	364
N/A	365	409
N/A	410	456
N/A	457	488
N/A	489	528
N/A	529	553
N/A	554	588
N/A	589	593
N/A	594	597
N/A	598	608
N/A	609	629
N/A	632	633
N/A	636	645
N/A	646	693
N/A	694	727
N/A	728	743
N/A	744	792
N/A	793	799
N/A	800	801
N/A	802	806
N/A	807	808
N/A	809	822
N/A	825	832
N/A	833	836
N/A	837	865
N/A	866	894
N/A	895	922
N/A	925	926
N/A	927	928
N/A	929	968
N/A	969	1008
N/A	1009	1057
N/A	1058	1061
N/A	1064	1065
N/A	1069	1110
N/A	1111	1148
N/A	1149	1170
N/A	1171	1211
N/A	1212	1223
N/A	1224	1247
N/A	1248	1263
N/A	1266	1279
N/A	1280	1288
N/A	1289	1291
N/A	1295	1336
N/A	1337	1372
N/A	1373	1374
N/A	1377	1392
N/A	1393	1395
N/A	1396	1401
N/A	1405	1417
N/A	1418	1453
N/A	1456	1463
N/A	1464	1471
N/A	1472	1506
N/A	1507	1552
N/A	1553	1569
N/A	1573	1574
N/A	1575	1580
N/A	1581	1614
N/A	1615	1634
N/A	1635	1658
N/A	1659	1681
N/A	1682	1727
N/A	1728	1767
N/A	1768	1788
N/A	1789	1820
N/A	1821	1852
N/A	1853	1861
N/A	1864	1877
N/A	1878	1905
N/A	1906	1939
N/A	1940	1962
N/A	1963	1999
N/A	2000	2001
N/A	2005	2013
N/A	2014	2046
N/A	2047	2049
N/A	2050	2096
N/A	2100	2139
N/A	2140	2164
N/A	2165	2213
N/A	2218	2219
N/A	2220	2268
N/A	2269	2284
N/A	2285	2330
N/A	2331	2359
N/A	2360	2393
N/A	2394	2434
N/A	2435	2469
N/A	2470	2481
N/A	2482	2499
N/A	2500	2514
N/A	2515	2545
N/A	2546	2584
N/A	2588	2601
N/A	2602	2641
N/A	2642	2677
N/A	2678	2720
N/A	2721	2750
N/A	2751	2784
N/A	2785	2809
N/A	2810	2848
N/A	2849	2860
N/A	2861	2873
N/A	2874	2883
N/A	2884	2886
N/A	2887	2888
N/A	2893	2894
N/A	2895	2896
N/A	2897	2937
N/A	2938	2965
N/A	2966	2997
N/A	2998	3015
N/A	3016	3039
N/A	3040	3045
N/A	3046	3074
N/A	3075	3117
N/A	3118	3166
N/A	3167	3197
N/A	3198	3237
N/A	3238	3246
N/A	3247	3249
N/A	3250	3291
N/A	3294	3298
N/A	3299	3347
N/A	3348	3387
N/A	3388	3401
N/A	3402	3427
N/A	3428	3455
N/A	3456	3459
N/A	3463	3493
N/A	3494	3525
N/A	3526	3539
N/A	3540	3545
N/A	3546	3573
N/A	3574	3615
N/A	3616	3617
N/A	3618	3620
N/A	3623	3663
N/A	3664	3710
N/A	3711	3739
N/A	3740	3785
N/A	3786	3812
N/A	3813	3829
N/A	3830	3838
N/A	3839	3865
N/A	3866	3914
N/A	3915	3940
N/A	3941	3969
N/A	3970	4001
N/A	4002	4016
N/A	4017	4062
N/A	4063	4103
N/A	4104	4147
N/A	4148	4172
N/A	4175	4176
N/A	4182	4184
N/A	4185	4233
N/A	4234	4259
N/A	4260	4284
N/A	4285	4305
N/A	4308	4311
N/A	4312	4353
N/A	4354	4378
N/A	4381	4389
N/A	4390	4415
N/A	4416	4448
N/A	4449	4483
N/A	4484	4518
