,Acceleration,Channel 1 Power,Channel 1 Power 1-4,Channel 1 Power 4-8,Channel 2 Power,Channel 2 Power 1-4,Channel 2 Power 4-8,Minutes,Record,Subject
45,,,,,,,,225.0,Day 1,S1
46,,,,,,,,230.0,Day 1,S1
47,,,,,,,,235.0,Day 1,S1
48,,,,,,,,240.0,Day 1,S1
49,,,,,,,,245.0,Day 1,S1
50,,,,,,,,250.0,Day 1,S1
51,,,,,,,,255.0,Day 1,S1
52,,,,,,,,260.0,Day 1,S1
53,,,,,,,,265.0,Day 1,S1
54,,,,,,,,270.0,Day 1,S1
55,,,,,,,,275.0,Day 1,S1
56,,,,,,,,280.0,Day 1,S1
57,,,,,,,,285.0,Day 1,S1
58,,,,,,,,290.0,Day 1,S1
59,,,,,,,,295.0,Day 1,S1
60,,,,,,,,300.0,Day 1,S1
61,,,,,,,,305.0,Day 1,S1
62,,,,,,,,310.0,Day 1,S1
63,,,,,,,,315.0,Day 1,S1
64,,,,,,,,320.0,Day 1,S1
65,,,,,,,,325.0,Day 1,S1
66,,,,,,,,330.0,Day 1,S1
67,,,,,,,,335.0,Day 1,S1
68,,,,,,,,340.0,Day 1,S1
69,,,,,,,,345.0,Day 1,S1
70,,,,,,,,350.0,Day 1,S1
71,,,,,,,,355.0,Day 1,S1
72,26095.479741666666,1.2545862442457616,0.010069195262055785,0.00017653391747692108,0.0026308892560838832,1.895310270485553e-05,6.628851446808559e-11,0.0,Day 2,S1
73,8911.476963333333,1.2708908590308612,0.009414043287334988,2.9805423546421944e-05,0.0016266227314931498,1.1718531415928913e-05,4.7084985118487816e-11,5.0,Day 2,S1
74,26373.816455,1.237241497369134,0.010632474705206792,0.00025508415969149715,0.0013652820030465183,9.835795142757836e-06,6.08624992965455e-11,10.0,Day 2,S1
75,59942.926433333334,1.2654323381987285,0.00933840622358579,3.803617195783155e-05,0.0012452514439511124,8.971091701117504e-06,4.676299449033934e-11,15.0,Day 2,S1
76,72197.31730666666,1.2217194024373144,0.010384278571411311,0.0009127470832232867,0.001293073236993172,9.31572237354467e-06,9.813248962432434e-11,20.0,Day 2,S1
77,18291.561038333333,1.2684235856100134,0.009161826681078497,1.1101267414400818e-05,0.0013620622170793912,9.81309984203518e-06,1.684896747097416e-10,25.0,Day 2,S1
78,145.03710333333333,1.2680746493459465,0.009135366484506508,3.4309697670966513e-10,0.0012271853727543753,8.841644150297742e-06,2.3244215140054857e-10,30.0,Day 2,S1
79,23.232325,1.2668754080420948,0.009126724690148266,3.5491336029929834e-10,0.0011420713005990493,8.228388738933177e-06,2.2214343942344089e-10,35.0,Day 2,S1
80,1945.98934,1.266100436132805,0.00912114538662332,2.9147420126715997e-10,0.0010594968233892865,7.633382996421717e-06,1.7775484118282483e-10,40.0,Day 2,S1
81,2823.499215,1.2657597879739624,0.00911868771106745,2.92117183536768e-10,0.0009862096474070384,7.1052195741499556e-06,1.4002121623128068e-10,45.0,Day 2,S1
82,14607.626613333334,1.2573045939907075,0.009229461025056018,1.8845895026193686e-05,0.0009599822658969841,6.915917103879285e-06,4.72634091617261e-11,50.0,Day 2,S1
83,12623.5055,1.2200433619077091,0.01001813913206595,5.962924209111377e-05,0.0008819699586889679,6.354176371296774e-06,7.935958159692342e-11,55.0,Day 2,S1
84,2398.42847,1.2602962111901004,0.009085738306634858,5.294753164482916e-07,0.0007992320673045507,5.75837797695869e-06,1.6181771811027993e-10,60.0,Day 2,S1
85,48.73285,1.2603325631034858,0.009079590399910322,3.2998700122399703e-10,0.0007457247451580632,5.373117046344677e-06,2.1122946722810507e-10,65.0,Day 2,S1
