,Unnamed: 0,Channel 1 Power,Channel 1 Power 1-4,Channel 1 Power 4-8,Channel 2 Power,Channel 2 Power 1-4,Channel 2 Power 4-8,Acceleration,Subject,Record
0,0,0.0015851381428478985,2.3288362693389207e-10,2.558649405806816e-10,0.2362720281480597,1.87082056474917e-09,6.626874245456181e-10,3295.9657666666667,S15,Day 1
1,1,0.0016814246974365954,4.808229476059045e-10,3.48501021798326e-10,0.2525826549188036,2.9226146344649107e-09,9.49654407690614e-10,2528.616613333333,S15,Day 1
2,2,0.0017285120695889518,1.2328029480012215e-09,7.392099085177277e-10,0.2690692658842668,5.5090626666064275e-09,2.0470503414691395e-09,457.47798666666665,S15,Day 1
3,3,0.0016603529326888506,1.9704303208012218e-10,2.507603978003725e-10,0.2714930775936101,1.9774102898740567e-09,6.623881202865212e-10,2334.0142533333333,S15,Day 1
4,4,0.0016537968681116005,2.3201623277190705e-10,2.1164909487084657e-10,0.2656006086862323,2.215537460600762e-09,5.342333108958825e-10,1538.9915933333334,S15,Day 1
5,5,0.0014249284301498582,3.9067935125771e-10,2.503914995406494e-10,0.25577322650446793,1.9868322989488228e-09,6.65265030199045e-10,2698.245446666667,S15,Day 1
6,6,0.0016080810424735227,8.663987744166361e-10,5.567716627836414e-10,0.26833649831560835,4.496199108367236e-09,1.5313046149107175e-09,1287.0527,S15,Day 1
7,7,0.0016403602475142528,1.6054262319693697e-09,9.851853625488568e-10,0.27253684409882245,7.093263127375604e-09,2.6756139692810768e-09,9.491833333333334,S15,Day 1
8,8,0.0015826484468732982,7.648840986089837e-10,5.367697527360606e-10,0.26977061610694525,4.243948479582849e-09,1.4651164620301921e-09,832.4677666666665,S15,Day 1
9,9,0.0016046860428765766,1.975226229049905e-09,1.018763061016121e-09,0.27494496244252914,8.458883443695381e-09,2.791514288565445e-09,115.17905333333331,S15,Day 1
10,10,0.0015726381594184519,1.3024778177064691e-09,8.147423709900285e-10,0.2748932951216639,6.074385992792216e-09,2.1453284720081547e-09,230.50888666666665,S15,Day 1
11,11,0.001534041688673607,1.2686351796296968e-09,7.934239566015871e-10,0.2783541106286353,5.944052061362191e-09,2.0722006539504613e-09,69.21628,S15,Day 1
12,12,0.0014829882901827409,2.498347493945544e-10,3.6021973221839936e-10,0.2808519472107747,1.9812061344003324e-09,7.839127590236014e-10,2457.58374,S15,Day 1
13,13,0.001336743431896396,2.258483037044941e-10,2.2072064963863456e-10,0.27978698498183074,2.186736974733194e-09,5.081799816798952e-10,5212.661306666667,S15,Day 1
14,14,0.0011706633323415238,2.433918784636722e-10,2.0585795398826016e-10,0.2822327343375873,2.127781103326894e-09,4.694869404584906e-10,4574.813273333333,S15,Day 1
15,15,0.0003982515004306741,1.1288204138561425e-09,2.869603538106397e-10,0.27590049549604057,2.465988229335441e-09,6.702721252178043e-10,2561.8975,S15,Day 1
16,16,0.00035591383537616204,1.5856136488275389e-09,3.051907549176186e-10,0.2797934398698149,1.982377791990882e-09,6.866481841549917e-10,7493.670173333333,S15,Day 1
17,17,0.00040193205976823607,4.844326112741194e-10,2.3656234945114703e-10,0.2811399123732752,2.34006983577498e-09,5.285771651259807e-10,2444.959573333333,S15,Day 1
18,18,0.0006269505407490789,2.5408228948301427e-10,2.1177239533860292e-10,0.28311775087160795,2.337399335324169e-09,5.375488365531832e-10,3454.988306666666,S15,Day 1
19,19,0.0006008615427081747,6.533049449650961e-10,2.775408041565761e-10,0.2829712175602509,2.0829624330327707e-09,6.850137186133216e-10,6780.6068466666675,S15,Day 1
