,Acceleration,Channel 1 Power,Channel 1 Power 1-4,Channel 1 Power 4-8,Channel 2 Power,Channel 2 Power 1-4,Channel 2 Power 4-8,Minutes,Record,Subject
0,3362.9193866666665,0.05289243936952099,5.990261351288848e-10,3.3197585417005626e-10,0.01566206142893135,8.276103128901307e-10,5.516906278829501e-10,0.0,Day 2,RecV3_2_ang+
1,21062.580936666665,0.05235330927730172,7.072292291434679e-10,4.1402733906710023e-10,0.015686923810159896,8.951317513396131e-10,5.439209880173491e-10,5.0,Day 2,RecV3_2_ang+
2,23513.505993333332,0.052276288987840265,6.238844543442567e-10,3.509255950661956e-10,0.015824209822580707,8.474140425681075e-10,6.273665650502282e-10,10.0,Day 2,RecV3_2_ang+
3,58279.37145333333,0.05248643603246972,7.918418226606864e-10,3.5861740625565693e-10,0.015637928322953347,1.1003865153703873e-09,6.643371505474266e-10,15.0,Day 2,RecV3_2_ang+
4,43315.29547333333,0.05291354755958542,6.905984742330943e-10,4.0116381074851507e-10,0.015788242595609587,1.0943799320267978e-09,6.332142703630563e-10,20.0,Day 2,RecV3_2_ang+
5,63716.219163333335,0.05247561951712931,8.075287122449764e-10,3.3630345122344405e-10,0.015663799163147484,9.960512727665163e-10,3.510164704479637e-10,25.0,Day 2,RecV3_2_ang+
6,8494.87598,0.051711294270524476,1.5209217715455454e-09,9.34593582698427e-10,0.015276560289345476,1.6375853391808365e-09,1.307134063101985e-09,30.0,Day 2,RecV3_2_ang+
7,6177.997,0.05116739198893406,1.1573709893720756e-09,8.519401743253853e-10,0.01506077565051077,1.4205322832094402e-09,1.2760322458779742e-09,35.0,Day 2,RecV3_2_ang+
8,78.55646666666667,0.05120427697313625,1.8536111662299742e-09,1.2510836574741862e-09,0.015152289189623443,1.9977871657846582e-09,1.741985724532052e-09,40.0,Day 2,RecV3_2_ang+
9,183.49982666666668,0.051294620485139206,1.1048049681457404e-09,8.192367342779512e-10,0.015607999518822822,1.1996889657841164e-09,1.0825066010369927e-09,45.0,Day 2,RecV3_2_ang+
10,148.48147666666668,0.052123741727594604,1.8032105748317242e-09,1.347700732767364e-09,0.01603840148458661,1.8322891812581018e-09,1.8452657752219066e-09,50.0,Day 2,RecV3_2_ang+
11,15918.051123333333,0.05283796101783963,1.0083107944396593e-09,6.35838588468073e-10,0.01607656530450744,1.2908320247810517e-09,1.0722928926916075e-09,55.0,Day 2,RecV3_2_ang+
12,34272.84843666667,0.05297464318289508,7.268767951717365e-10,3.899983683074855e-10,0.0160293447864907,1.0763746665632054e-09,6.66299858591718e-10,60.0,Day 2,RecV3_2_ang+
13,41579.11328333333,0.05169664794100521,1.2476914289490367e-08,4.244583382073447e-09,0.016116034032260945,9.253273295677481e-10,5.219575068051953e-10,65.0,Day 2,RecV3_2_ang+
14,50.06564,0.05059574235126603,1.5859351842622324e-09,1.075596727785609e-09,0.015934744196014254,1.7613324133831014e-09,1.4740332498490773e-09,70.0,Day 2,RecV3_2_ang+
15,344.57989,0.052044098738998686,1.3296454367584674e-09,9.533891073916538e-10,0.01575448391809751,1.425840624498064e-09,1.3167157282002928e-09,75.0,Day 2,RecV3_2_ang+
16,67.20769,0.05274409178034212,1.1327863868052901e-09,7.841865079852959e-10,0.01557218259636177,1.2278724971716619e-09,1.0485594156124887e-09,80.0,Day 2,RecV3_2_ang+
17,3636.22353,0.05338927331852241,1.814673118701302e-09,1.0913014629464596e-09,0.01603674805039525,1.8902114597871087e-09,1.5889459580529812e-09,85.0,Day 2,RecV3_2_ang+
18,2447.466176666667,0.0535939586661885,1.5217745375096017e-09,9.458166505158854e-10,0.016324167539593294,1.6138997934982993e-09,1.4221216812309003e-09,90.0,Day 2,RecV3_2_ang+
