,Unnamed: 0,Channel 1 Power,Channel 1 Power 1-4,Channel 1 Power 4-8,Channel 2 Power,Channel 2 Power 1-4,Channel 2 Power 4-8,Acceleration,Subject,Record
0,0,0.0595544613348318,1.2889836039606946e-09,1.692062762291008e-09,0.0008299375865648252,6.876080603937994e-10,1.866389507853873e-09,10693.491713333333,S4,Day 1
1,1,0.04557579649792775,1.9836474418088947e-09,1.5705944152323695e-09,0.0007056103367529102,1.1072645385692149e-09,1.4425359133538272e-09,8967.2386,S4,Day 1
2,2,0.04198334055576667,1.4035949506642923e-08,4.0190045018813306e-09,0.0007511399010378353,7.28222417465937e-09,2.9386140730780253e-09,123.59088,S4,Day 1
3,3,0.0405122113338386,1.3080463351703749e-08,3.6006223199022003e-09,0.0008266301806835735,6.563261828922225e-09,2.8220624257607026e-09,333.25057999999996,S4,Day 1
4,4,0.03949483928614325,1.1433488327990386e-08,3.622263495715847e-09,0.0009105235736344152,5.6522027318339425e-09,3.251700822753461e-09,412.58147333333335,S4,Day 1
5,5,0.038950743876626434,1.512455293491108e-08,3.9683020326356756e-09,0.0009589309778785472,7.970520146826334e-09,2.8981148860599552e-09,25.81017333333333,S4,Day 1
6,6,0.03859031890080717,1.3478567801630094e-08,3.739595622367768e-09,0.0009906433079273874,6.885794561015883e-09,2.806187257864118e-09,84.23250666666667,S4,Day 1
7,7,0.038472242862395534,7.461001766026071e-09,3.1399527254110283e-09,0.0010362691059622434,3.736051792837205e-09,2.930913264287574e-09,195.9525333333333,S4,Day 1
8,8,0.038428212465713034,1.4611756577464378e-08,3.6252702701270603e-09,0.0010502600832287047,7.1898030985109734e-09,2.4782484375291498e-09,118.54580666666666,S4,Day 1
9,9,0.03872946529425584,9.145723139389417e-09,3.1542791322731217e-09,0.0010591021043491237,4.577659008674997e-09,2.2080904955398125e-09,135.42826666666667,S4,Day 1
10,10,0.03991855844215149,9.983423787925248e-09,3.128195886643769e-09,0.0010577286294012947,4.778010699712485e-09,2.244446748225711e-09,277.0093,S4,Day 1
11,11,0.04023113296437447,5.871189538975935e-09,2.2385566813221347e-09,0.0010580721435499423,3.032061345657823e-09,1.6528914151054788e-09,1639.681446666667,S4,Day 1
12,12,0.0390861381044304,1.4305017305634584e-08,3.6949675436843157e-09,0.0010791888490682918,7.547541066280684e-09,2.709152124355643e-09,34.01304666666667,S4,Day 1
13,13,0.038181269549710066,1.637137851264082e-08,3.7464396472301465e-09,0.0010940619359934582,7.617385012625325e-09,2.744880501510184e-09,28.95048,S4,Day 1
14,14,0.03746863589885295,1.0134656639754359e-08,3.118593206049041e-09,0.001162959456358392,4.915788925805502e-09,2.275386668034661e-09,138.08426666666668,S4,Day 1
15,15,0.036689316901769214,1.3231859503524816e-08,3.916041536387723e-09,0.0011796513679398167,6.04205332354085e-09,2.908837180030405e-09,44.013259999999995,S4,Day 1
16,16,0.036580970203363226,1.1345712769630053e-08,3.006368958543469e-09,0.0011593762134003258,5.2049761064143215e-09,2.330326420753805e-09,134.5184,S4,Day 1
17,17,0.03702524306306715,1.281535067822348e-08,3.6531967407114453e-09,0.0011660251492350464,6.2370982548139204e-09,2.5379121123790613e-09,88.65405333333334,S4,Day 1
18,18,0.038276577852084284,1.2759571520394292e-08,3.4841211246684128e-09,0.0011683863788127804,6.1282035346805694e-09,2.689827467381557e-09,201.8092,S4,Day 1
19,19,0.03854747900893355,1.1930823699919321e-08,3.522299298393257e-09,0.0011819215850043935,5.5262735942557035e-09,2.268271297812742e-09,56.09182666666667,S4,Day 1
20,20,0.038222384304817725,7.673376380310073e-09,2.939288841556808e-09,0.0011917797080833966,3.785253699142313e-09,2.360138543958347e-09,59.685340000000004,S4,Day 1
21,21,0.03791995279087941,1.1927940673821289e-08,3.5905279159930067e-09,0.0011733711930435162,5.655980571532534e-09,2.556094177350308e-09,124.35226000000002,S4,Day 1
22,22,0.03829617124939815,9.965035999735964e-09,3.1535354956062524e-09,0.0011605644691705262,4.8543488627711545e-09,2.6297806669295253e-09,111.79732666666666,S4,Day 1
23,23,0.038985012797475335,5.273696200965255e-09,2.2290963419265846e-09,0.001133708013033873,2.979160594953935e-09,1.6451786015105545e-09,199.17363999999998,S4,Day 1
24,24,0.03950664811855848,7.719112322257485e-09,3.0466701548889962e-09,0.0010723863843404603,3.750026612249717e-09,2.535491683876884e-09,289.6775,S4,Day 1
25,25,0.03945380442378378,1.8619726900197015e-09,1.4596933314436015e-09,0.0010518699690379855,4.274310261005199e-09,4.0313356839401264e-09,4531.49134,S4,Day 1
26,26,0.0383799058901288,1.4770551425786492e-08,3.711964039301504e-09,0.0010239033877871362,7.511017245994331e-09,2.721334490997772e-09,876.5890199999999,S4,Day 1
27,27,0.03737290098833005,1.0926539434528773e-08,3.3643148436961747e-09,0.000994666743940753,6.015006716550225e-09,2.8128776675338872e-09,79.98521333333333,S4,Day 1
28,28,0.037630208740407005,1.1801175002269787e-08,3.6084867666619806e-09,0.0009299314014869963,6.607682115188988e-09,2.707340389499816e-09,112.83616,S4,Day 1
29,29,0.03762032670699268,8.738230685938968e-09,3.2294418084582106e-09,0.0009305225464100648,4.692151061914917e-09,2.815324093776152e-09,184.94146666666663,S4,Day 1
30,30,0.03773944924587316,1.0495718680948732e-08,3.148746768356466e-09,0.0009347797617177773,5.969390462836319e-09,2.562396524134769e-09,84.75497333333334,S4,Day 1
31,31,0.037888345063849166,9.302225843307491e-09,3.125231980304068e-09,0.0009444170337761224,4.989949994618182e-09,2.43002329353404e-09,322.4900666666667,S4,Day 1
32,32,0.037867387639184034,7.65724052836128e-09,3.0128395824918418e-09,0.0009274058877941797,4.153768594275267e-09,2.583284956381464e-09,222.72816,S4,Day 1
33,33,0.03851236905923114,6.022379719082069e-09,2.69858226457364e-09,0.0009190810904766217,3.219542091653704e-09,2.5834632901794705e-09,977.9657866666665,S4,Day 1
34,34,0.03828529750200122,2.0423467125200125e-09,1.4818776894987861e-09,0.0009435578167313188,9.031226535700157e-07,3.6645775788758923e-07,5787.4512466666665,S4,Day 1
35,35,0.03753095320813312,1.5947045280307175e-09,1.163054950315999e-09,0.0009237956813579406,2.1385012435076008e-08,1.0108224473738151e-08,4106.4352266666665,S4,Day 1
36,36,0.011632944671237787,2.341470713845146e-09,1.6523891196052261e-09,0.0006337446311913777,1.7499708684335321e-09,1.5589865274882473e-09,2263.699282868526,S4,Day 2
37,37,0.013683817103547009,8.601750740765277e-10,1.2797856693811164e-09,0.000702896724027108,5.473144922249541e-10,1.7459169385047742e-09,13386.13895750332,S4,Day 2
38,38,0.014919095073314447,1.3504250536781594e-09,1.193414215299137e-09,0.0008329552905719925,1.006384913534451e-09,1.4288695608373164e-09,15469.706201859231,S4,Day 2
39,39,0.01554589772096616,5.406423037728493e-09,2.819556553107163e-09,0.0009238156489806224,4.439321437769558e-09,2.2956863730773267e-09,7814.460664010624,S4,Day 2
40,40,0.016083562141167126,7.138444164387546e-09,3.967206325107018e-09,0.000967514477532118,5.427534643162896e-09,3.449948404966916e-09,153.23774900398408,S4,Day 2
41,41,0.016990136060559758,6.082962939864084e-09,3.785734267204657e-09,0.001130034685632956,4.796498442808834e-09,2.958968598728852e-09,164.89029216467463,S4,Day 2
42,42,0.017246101925917846,8.837911033890294e-10,1.0223891729622019e-09,0.0011953536604010534,6.159511870005563e-10,1.3875530021407765e-09,13018.568140770252,S4,Day 2
43,43,0.01801385480092224,7.155407909624721e-09,3.639307537997634e-09,0.0012125234136585806,5.4418971124378826e-09,2.7408840966830308e-09,309.1180677290837,S4,Day 2
