,Unnamed: 0,Channel 1 Power,Channel 1 Power 1-4,Channel 1 Power 4-8,Channel 2 Power,Channel 2 Power 1-4,Channel 2 Power 4-8,Acceleration,Subject,Record
11,11,0.0255725791587428,0.00018422961546905224,7.630621356117112e-10,0.0003824572538620253,2.7564099800150583e-06,3.258209990696632e-10,21.94146333333333,S1,Day 1
12,12,0.02366677324237353,0.00017049931940483766,6.987315698225836e-10,0.0003764220377910033,2.7125913768511835e-06,2.550740057157598e-10,23.33967,S1,Day 1
13,13,0.02227183653020512,0.0001604501319533839,7.719882678526366e-10,0.00036603286532082635,2.638197758293597e-06,3.6766630643984017e-10,149.15488333333334,S1,Day 1
14,14,0.02134260755372598,0.00015375602899642208,6.855923009514447e-10,0.00037097462500745767,2.6734189419387265e-06,2.718191127064955e-10,11.892293333333333,S1,Day 1
15,15,0.020787667940771932,0.00014975814005732048,5.75919485916482e-10,0.0003742508163711259,2.6970167805078484e-06,2.7486581443351784e-10,238.88922999999997,S1,Day 1
16,16,0.019822123233474646,0.00014280262947905602,9.523009379381656e-10,0.000364694046238146,2.6288489836269717e-06,4.429881430773306e-10,34.22591666666667,S1,Day 1
17,17,0.019244496236043032,0.00013864146840212408,8.381811686825757e-10,0.00037122648972696785,2.675987192011129e-06,4.1381060728238735e-10,486.46227333333326,S1,Day 1
18,18,0.018784881289419,0.00013532907173556484,2.0521707029183627e-10,0.00036683976980234415,2.642940482096807e-06,6.983710708530179e-11,2801.0976100000003,S1,Day 1
19,19,0.0183570778277978,0.00013224733760707378,2.2246224332655644e-10,0.00037934780830699153,2.7330034006604354e-06,7.325190195607308e-11,1551.259720720721,S1,Day 1
20,20,,,,,,,,S1,Day 1
21,21,,,,,,,,S1,Day 1
22,22,,,,,,,,S1,Day 1
23,23,,,,,,,,S1,Day 1
24,24,,,,,,,,S1,Day 1
25,25,,,,,,,,S1,Day 1
26,26,,,,,,,,S1,Day 1
27,27,,,,,,,,S1,Day 1
28,28,,,,,,,,S1,Day 1
29,29,,,,,,,,S1,Day 1
30,30,,,,,,,,S1,Day 1
31,31,,,,,,,,S1,Day 1
32,32,,,,,,,,S1,Day 1
33,33,,,,,,,,S1,Day 1
34,34,,,,,,,,S1,Day 1
35,35,,,,,,,,S1,Day 1
36,36,1.2627385516383576,0.009741619274695384,0.00010316967051167152,0.0021287559937884864,1.5335817060392226e-05,5.6686749793286704e-11,2734.4125966666666,S1,Day 2
37,37,1.2513369177840616,0.00998544046439629,0.00014656016582466434,0.0013052667234987483,9.403443421937672e-06,5.3812746893442434e-11,6206.219523333332,S1,Day 2
38,38,1.2450714940236054,0.009773052626244904,0.0004619241753188439,0.0013275677270363022,9.564411107789926e-06,1.3331108216703294e-10,5447.449363333333,S1,Day 2
39,39,1.267475028694195,0.009131045587327387,3.4900516850448166e-10,0.0011846283366763585,8.53501644461546e-06,2.2729279541199472e-10,7.7752300000000005,S1,Day 2
40,40,1.2659301120534088,0.009119916548845385,2.91795692401964e-10,0.0010228532353981515,7.3693012852858366e-06,1.5888802870705274e-10,270.22539333333333,S1,Day 2
41,41,1.2386739779491431,0.009623800078560984,3.923756855865373e-05,0.0009209761122930324,6.63504673758803e-06,6.331149537932477e-11,1302.18019,S1,Day 2
42,42,1.2603143871467022,0.00908266435327259,2.649026517247578e-07,0.0007724784062313127,5.5657475116516834e-06,1.865235926691925e-10,204.4002433333333,S1,Day 2
43,43,1.259388289789145,0.009072786768555222,3.110980728245747e-10,0.0007386100243970648,5.3217347663088235e-06,1.9720035826175798e-10,77.17340666666666,S1,Day 2
44,44,1.2548072488028328,0.009039785962159956,3.4624747040472993e-10,0.0007105120421434719,5.119519559351141e-06,2.2933934039111184e-10,16.305263333333333,S1,Day 2
45,45,1.2530768295120398,0.00902731953429265,3.0057504699137204e-10,0.0006564827473299162,4.7301644220132865e-06,1.975170878913e-10,11.27099,S1,Day 2
46,46,1.2555950857598597,0.009073199872412438,1.9032568631146668e-06,0.0006419435067450673,4.625334992642824e-06,1.6782752495667028e-10,1185.21886,S1,Day 2
47,47,1.2587569248149506,0.009068646890151522,6.684720618838936e-08,0.0006441830488891328,4.641504605187538e-06,1.9060814617459358e-10,32.99878666666667,S1,Day 2
48,48,1.248245018539338,0.008992510318323195,2.961413939667085e-10,0.0006678504550251933,4.8122984364098575e-06,2.328881311780621e-10,13.916170000000001,S1,Day 2
49,49,1.2451779291551155,0.008973072584833219,3.572292193189947e-08,0.0006754587312896151,4.866825200138045e-06,2.0394533651311272e-10,19.067623333333334,S1,Day 2
50,50,1.2447274053320128,0.008967168761848407,3.0032543101390314e-10,0.0006675796796688456,4.810017240885254e-06,2.1482725130581009e-10,225.29242000000002,S1,Day 2
51,51,1.242177879785224,0.008948802226398043,2.1402875484046702e-10,0.0006534649684273334,4.708036879410698e-06,1.4550910794700556e-10,18.09843333333333,S1,Day 2
52,52,1.2408723494400726,0.008939396073799205,2.47921275623198e-10,0.0006599709263599597,4.755149994003234e-06,1.6895163712413298e-10,116.92439666666668,S1,Day 2
53,53,1.2557241422857142,0.009046829894119032,2.636354684142933e-07,0.0006375251625371128,4.593096063795595e-06,9.121374136957554e-11,1289.1022633333334,S1,Day 2
54,54,1.2347335974072402,0.008895173543821286,2.8562518383018317e-10,0.0005975462309854193,4.305393226982226e-06,2.0027207131307616e-10,33.70482666666667,S1,Day 2
55,55,1.2279614457696102,0.008848420713038208,6.04111248454743e-07,0.0005649959709404232,4.0707784916416335e-06,1.5254073573514448e-10,28.684556666666666,S1,Day 2
56,56,1.2242031086513478,0.008819308273534584,2.2281622938430956e-10,0.0005507352600828208,3.967985987352447e-06,1.472713663210468e-10,19.035323333333334,S1,Day 2
57,57,1.222712336228303,0.008808570453455566,3.110686888264026e-10,0.0005254792614239887,3.786269656240856e-06,2.1425203969134492e-10,57.25227333333334,S1,Day 2
58,58,1.1421993594338982,0.008292679858595001,6.042495414634708e-06,0.0005280393976201174,3.8042405992841333e-06,6.57935808919389e-11,967.2397800000001,S1,Day 2
59,59,0.029130368797152032,0.0002098591739834345,1.8466882992399136e-10,0.000560542040361453,4.0383426817375235e-06,4.9655055130567256e-11,3080.4570633333333,S1,Day 2
60,60,0.027812629237574656,0.00020036629809861903,3.6831467555699947e-10,0.0005665844702341024,4.082060561699759e-06,9.576863512354391e-11,1008.7913,S1,Day 2
61,61,0.026904492998028263,0.0001938241610521616,5.458430725317574e-10,0.0005608194525646924,4.040734246097519e-06,1.7274612284700011e-10,4.015866666666667,S1,Day 2
62,62,0.026588584182021927,0.00019154883856247284,6.935091125240094e-10,0.0005555477492944687,4.003076197187048e-06,2.450159360167848e-10,60.74202666666667,S1,Day 2
63,63,0.026073134548616917,0.00018783467795717448,5.673888474223866e-10,0.000544877741920287,3.9258743321700025e-06,1.675527765243371e-10,6.6072033333333335,S1,Day 2
64,64,0.0256496610394433,0.0001847842468748249,6.106809078980497e-10,0.0005287694257411149,3.8099811192548995e-06,2.0980619298165767e-10,4.43865,S1,Day 2
65,65,0.025302223940115016,0.00018228129603890225,5.419413898270599e-10,0.0005296100617337499,3.815925662721845e-06,1.9440753462657087e-10,106.15257666666666,S1,Day 2
66,66,0.02532486917066501,0.0001824441380374921,3.9700221802640867e-10,0.0005438654352514774,3.9184643216068994e-06,1.4733105609389825e-10,42.52097333333333,S1,Day 2
67,67,0.024986737762094532,0.00018000824791311465,6.205483421089995e-10,0.0005601028224092478,4.035686235156439e-06,2.2162246622119887e-10,11.314253333333333,S1,Day 2
68,68,0.024839926874573984,0.0001789505577783919,5.006733589265309e-10,0.0005842762696984447,4.209617839952794e-06,1.5761834861853252e-10,17.070173333333333,S1,Day 2
69,69,0.024577009264616558,0.00017705640700177474,3.960281730174085e-10,0.0006079207318103552,4.379979660072967e-06,1.4015240008733788e-10,397.56340666666665,S1,Day 2
70,70,0.024601186082853638,0.000177230427317847,1.6909503951678724e-10,0.0006322604913056282,4.554995754681484e-06,4.1489257728680715e-11,3494.038293333333,S1,Day 2
71,71,0.02334481360982373,0.00016818575194427044,3.0984372632379767e-09,0.0006408742589624515,4.617057792999509e-06,4.74488995388852e-11,6442.830353333334,S1,Day 2
72,72,0.23459003281499274,0.0016900201790050653,9.21435917414063e-10,0.6120728435984851,0.0044094503123733855,5.533769601019792e-10,1626.0043033333334,S2,Day 1
73,73,0.2094770088885539,0.0015090992726907618,9.825832141968807e-10,0.524452721178307,0.0037782210519241594,5.316299436382304e-10,1231.8757666666668,S2,Day 1
74,74,0.1916606096885871,0.0013807506959436244,1.1805025439216266e-09,0.4835785464948736,0.0034837630270991176,9.877387099553757e-10,15.557353333333333,S2,Day 1
75,75,0.18337601292365724,0.0013210647263353869,1.184725896205079e-09,0.4568063003501372,0.0032908910802714763,9.729786925240656e-10,7.45212,S2,Day 1
76,76,0.1752235968389816,0.0012623358242273431,1.2243833435445438e-09,0.4360939083652277,0.003141679414991461,9.465299083526816e-10,10.892886666666667,S2,Day 1
77,77,0.16737811395452834,0.0012058139268449324,1.2244579651073092e-09,0.4198077420666244,0.003024346119188854,9.329983926627507e-10,11.153646666666667,S2,Day 1
78,78,0.1600252698186864,0.0011528437614256282,1.222101872543658e-09,0.4071493635400967,0.002933156897605663,8.739094118664432e-10,134.44385666666668,S2,Day 1
79,79,0.1531343827003519,0.0011032018488562028,1.3852721325738826e-09,0.3943511744795731,0.0028409560668132346,1.0540005818734797e-09,4.3999266666666665,S2,Day 1
80,80,0.14513460185984148,0.0010455692748530712,1.2122340332406488e-09,0.3829160404515725,0.0027585762318717913,7.86322871475802e-10,227.62175,S2,Day 1
81,81,0.13526738290325546,0.0009744842781038449,6.984507457444201e-10,0.3730424815961266,0.00268744426525232,3.2245658153034587e-10,4754.934426666667,S2,Day 1
82,82,0.12980094927780614,0.0009351023089221867,7.400253130916624e-10,0.3616425824087629,0.002605318444008882,3.9576956779021136e-10,6086.39576,S2,Day 1
83,83,0.13077212932391288,0.0009421011588761409,1.3442969404080538e-09,0.3535901154001993,0.002547309163898938,1.0174983538702616e-09,442.18652333333335,S2,Day 1
84,84,0.1285616049223005,0.0009261756191525404,1.4502111120607725e-09,0.3411060879592722,0.0024573715066293247,1.027525549508512e-09,23.36328333333333,S2,Day 1
85,85,0.12584539647146722,0.000906607942247183,1.286920890054418e-09,0.3152079477087649,0.002270799500088809,8.598092277301271e-10,71.53153,S2,Day 1
86,86,0.12244025311184012,0.000882076480664749,1.974321932839999e-09,0.28939994789050205,0.0020848741149350107,1.0373812212710387e-09,10.420866666666667,S2,Day 1
87,87,0.12145290571070448,0.0008749646248713232,1.4326131538745486e-09,0.26512683981875496,0.0019100092918959168,8.879091186606538e-10,9.22362,S2,Day 1
88,88,0.1265371886164215,0.0009115911651149137,1.3504971837403894e-09,0.24613692863607914,0.0017732015774390324,9.026815029683839e-10,18.275586666666666,S2,Day 1
89,89,0.129506408828718,0.0009329809248659023,1.193193912619265e-09,0.2332126500136086,0.0016800933119257172,6.801046276822094e-10,1846.03352,S2,Day 1
90,90,0.12927817233279135,0.0009313368678055681,7.272770101537603e-10,0.2215602148396494,0.0015961470111332337,3.2066366767726983e-10,2921.3,S2,Day 1
91,91,0.1259589262006281,0.0009074242816400986,5.904084326353159e-10,0.2065189052704769,0.0014877884034282785,3.42530881132324e-10,6043.5809433333325,S2,Day 1
92,92,0.12669477951975544,0.0009127261773153877,1.1493556366120058e-09,0.19531615784380554,0.001407082472164531,6.974624227785055e-10,1888.375526666667,S2,Day 1
93,93,0.1258581151684695,0.0009066979301177588,5.759796538791964e-10,0.1856564609607777,0.0013374925931706515,3.002320283157366e-10,4322.603643333333,S2,Day 1
94,94,0.12381492832309593,0.0008919789647990961,5.117355277296737e-10,0.17489041919759915,0.0012599326929618015,2.7984793671731373e-10,7933.883113333332,S2,Day 1
95,95,0.12164875883371032,0.0008763729260478272,5.696270419247279e-10,0.16452192365874194,0.001185236381481914,2.564517909258767e-10,6834.3561666666665,S2,Day 1
96,96,0.11960150951219314,0.0008616256019713839,1.1994451038046142e-09,0.15478838875729026,0.0011151159180716953,7.076276859349118e-10,2940.079806666666,S2,Day 1
97,97,0.1162441900686296,0.0008374392510373277,1.6363331951980884e-09,0.14603950715207345,0.0010520872607532323,8.028147283495932e-10,10.36839,S2,Day 1
98,98,0.1112452581674688,0.0008014276892772635,1.4465411155077573e-09,0.13765482112136215,0.0009916843277356245,7.498449677878427e-10,9.51534,S2,Day 1
99,99,0.10538939345701802,0.0007592393763853459,1.5428131751998125e-09,0.12884586079595406,0.0009282223044314174,7.02452413907313e-10,45.46139,S2,Day 1
100,100,0.09862803452957028,0.0007105298389998522,1.1918631628018041e-09,0.11942862237281307,0.0008603793052915247,7.031331089584962e-10,687.28725,S2,Day 1
