,Unnamed: 0,Channel 1 Power,Channel 1 Power 1-4,Channel 1 Power 4-8,Channel 2 Power,Channel 2 Power 1-4,Channel 2 Power 4-8,Acceleration,Subject,Record
0,0,0.012626230524864607,5.710590851370198e-10,6.380375908472498e-10,0.09771601516601693,1.103416913629858e-09,7.524584881686048e-10,4688.99842,S8,Day 1
1,1,0.012131503731412658,4.703466419286154e-10,5.457617735847361e-10,0.09556388071791896,8.962220450856412e-10,1.3506091961672176e-09,7264.795046666667,S8,Day 1
2,2,0.0117791659503324,5.571334567549195e-10,5.752141546814557e-10,0.09270417743782572,1.0715889733075143e-09,3.938955095893692e-10,14651.861853333336,S8,Day 1
3,3,0.011689281997407154,1.7488545932466992e-09,1.2581992916080211e-09,0.09235299711368468,2.3383652262093746e-09,6.948360502095336e-10,133.95248,S8,Day 1
4,4,0.01173601388072078,1.4028063086744662e-09,1.2733299663434455e-09,0.09095694919193048,1.824979325447247e-09,5.725710891981617e-10,134.82739333333333,S8,Day 1
5,5,0.01181642428861286,1.6623035211112534e-09,1.0796711882065537e-09,0.09048851120691626,2.027741867900865e-09,5.713462558692891e-10,874.2602400000001,S8,Day 1
6,6,0.011696745027835612,1.7051289141028925e-09,1.1836785622184072e-09,0.08897426823870692,2.323080365726733e-09,6.696197543265291e-10,301.6108,S8,Day 1
7,7,0.011644448808300643,1.6827685087251682e-09,1.2786930008320665e-09,0.08766664931983598,2.1107579338252938e-09,6.773696928219668e-10,418.37803333333335,S8,Day 1
8,8,0.011625709186153577,2.123850753974614e-09,1.251565592559939e-09,0.08634980491488681,2.46588412548004e-09,7.169220535326777e-10,83.61506,S8,Day 1
9,9,0.011585990491978,1.852185942085561e-09,1.144700693711225e-09,0.08488865036164914,2.067539177131169e-09,6.402649856931483e-10,155.08751999999998,S8,Day 1
10,10,0.011487978155634671,2.089968808719894e-09,1.2958706245999705e-09,0.08203500497361374,2.2203039846239543e-09,6.809921306720942e-10,187.28576,S8,Day 1
11,11,0.011383612244597613,1.8292097179003436e-09,1.2153547088191691e-09,0.0774995635834404,1.829988506134242e-09,6.372920511234861e-10,164.0988,S8,Day 1
12,12,0.011275194316374559,2.3463446835583905e-09,1.3637788982866886e-09,0.07340852080648441,2.070123361010621e-09,7.169897329123441e-10,95.91872,S8,Day 1
13,13,0.011255536831031,8.816062971507775e-10,7.354623619184207e-10,0.07163261187068326,8.826336863744982e-10,3.3955091941079635e-10,806.0157133333333,S8,Day 1
14,14,0.011048107121012507,5.529027229451801e-10,5.987686358565335e-10,0.06970146915254158,9.071404722193636e-10,8.970450016423918e-10,5660.432760000001,S8,Day 1
15,15,0.010966161054029077,2.282965217897573e-09,1.3504133438585284e-09,0.06883520762341408,1.959735639286513e-09,6.702726724755542e-10,43.37162666666666,S8,Day 1
16,16,0.010999279174375052,2.558372437683999e-09,1.3794280395128895e-09,0.06951668818845,2.040479374361045e-09,7.341223157867481e-10,38.23617333333333,S8,Day 1
17,17,0.011154216461645376,1.865098595991056e-09,1.1940456936084624e-09,0.07192085347356902,1.5433535854415984e-09,5.908865484876318e-10,178.56928666666667,S8,Day 1
18,18,0.011183177339629532,3.1525034906033e-09,1.6001950913544174e-09,0.0699058186436295,2.1762498646709946e-09,8.072300666071911e-10,114.59679333333334,S8,Day 1
