,Unnamed: 0,Channel 1 Power,Channel 1 Power 1-4,Channel 1 Power 4-8,Channel 2 Power,Channel 2 Power 1-4,Channel 2 Power 4-8,Acceleration,Subject,Record
0,0,0.0341249760549004,0.002242169607927162,0.00014533701299615783,3.7663055287125764e-05,4.976058364262172e-07,1.3181551471538053e-07,2362.7284966666666,S13,Day 1
1,1,0.050676110267832655,0.0023888107704246385,0.00023662753547601167,3.3918700322883136e-05,5.491162461803411e-07,2.3195562486685148e-07,4206.143956666667,S13,Day 1
2,2,0.05101530428817919,0.0005172665419744176,6.915963206086063e-06,2.7368615355226026e-05,2.0778977728845373e-07,3.172680916199588e-09,36.63347,S13,Day 1
3,3,0.16575849564428344,0.0014717838839117439,2.224710504940888e-05,1.7972363029044986e-05,1.695616766261507e-07,2.0908467267601254e-08,292.7763,S13,Day 1
4,4,0.24937046081422665,0.00194016823427842,8.408004154945414e-06,1.982051751739596e-05,1.6268793560756428e-07,9.847829129390065e-09,42.75985,S13,Day 1
5,5,0.6294274114443654,0.004591699817798282,3.3252670099993666e-06,2.2362693419465172e-05,1.6621861347067462e-07,2.176619114293457e-09,34.11347,S13,Day 1
6,6,0.7499396092158176,0.005465869358508306,4.932166275623108e-06,1.2564124012033768e-05,9.672436360178953e-08,3.626110454547317e-09,46.49682,S13,Day 1
7,7,0.4870775059368142,0.0036215574860222603,8.243904909392761e-06,1.3677917872303555e-05,1.0767325555740562e-07,6.716164775524948e-09,65.90550999999999,S13,Day 1
8,8,0.3749757473951155,0.0027218470551448287,9.732316226403757e-07,9.607780244418357e-06,7.006878814911911e-08,4.125675708289017e-10,32.71502666666667,S13,Day 1
9,9,0.34368324287599633,0.0024794003793633893,1.5331907582026568e-07,8.587812321880903e-06,6.196247660183519e-08,4.840125146353519e-11,6.04159,S13,Day 1
10,10,0.281851403823194,0.0021057219653008454,3.662150417293589e-06,7.5440691231758544e-06,6.131061678261781e-08,2.8910356830215234e-09,59.44931999999999,S13,Day 1
11,11,0.22325457255306966,0.0016200315398184992,5.078129220261977e-07,6.4184035291988815e-06,4.712771350015007e-08,3.8589096338432173e-10,27.75301333333333,S13,Day 1
12,12,0.11649959608509992,0.000842601346805561,1.2342117987359798e-07,1.126928594493378e-05,8.134393027475156e-08,6.288104722939568e-11,20.113386666666667,S13,Day 1
13,13,0.18340341314952865,0.0013322195795001858,2.858381555491901e-07,4.612866902626799e-06,3.361484034107285e-08,1.3984593822231757e-10,38.05397,S13,Day 1
14,14,0.14278009743768658,0.001034681710363132,1.882788021138543e-07,1.988205355444822e-06,1.4642461523607451e-08,9.883302988725306e-11,31.71442,S13,Day 1
15,15,0.14406499645620385,0.0010427825403021619,1.5636400158616722e-07,2.1894303877555525e-06,1.5804265075144662e-08,7.688562583566321e-11,15.530136666666667,S13,Day 1
16,16,0.21711473953272253,0.0015705438521254954,2.2932552024517065e-07,1.4789554593822294e-06,1.0837931197119849e-08,1.0526241300505105e-10,13.619873333333333,S13,Day 1
17,17,0.2269835761214485,0.0016840906958495645,2.1216109398202114e-06,9.993861707348995e-07,1.440532944568528e-08,2.663795920837146e-09,66.43621333333333,S13,Day 1
18,18,0.1952589681421973,0.0014105488592278262,8.72554853597535e-08,2.9982831919200064e-06,2.2384465150685798e-08,1.0046994863070666e-10,11.227493333333333,S13,Day 1
19,19,0.237062123747648,0.0017142364374534056,1.721779545020603e-07,1.9020619093303024e-06,1.4666428549462217e-08,1.9128584797667738e-10,22.29504666666667,S13,Day 1
