,Channel 1 Power,Channel 1 Power 1-4,Channel 1 Power 4-8,Channel 2 Power,Channel 2 Power 1-4,Channel 2 Power 4-8,Acceleration,Subject,Record
99,0.12864320643597238,1.900964802951659e-06,2.0052504165556866e-08,1.007871848323233,6.56778012388525e-09,8.381969324524417e-10,90.20400666666667,#2,02-04-2019
100,0.13058108673977986,8.281742685907942e-06,6.926039007266191e-07,1.007539481358164,6.98632075623388e-09,9.21968129225061e-10,918.2654333333334,#2,02-04-2019
101,0.134677571429687,1.7816486066059864e-06,1.7628444753267376e-08,1.0081141442918127,7.4382977472269224e-09,1.0033269268854388e-09,205.63153333333332,#2,02-04-2019
102,0.13592462574415967,9.875219168942738e-07,1.4279569578462906e-08,1.0085733134110302,6.489383323353805e-09,7.573620409325846e-10,120.65192,#2,02-04-2019
103,0.10856952052206852,0.00010707320074123876,6.653839903518585e-06,1.0085902700743583,4.400125765884331e-07,2.7786199459892325e-08,4727.78876,#2,02-04-2019
104,0.13461018936037883,4.8705455954964e-06,1.67382970848433e-07,1.0081272619247417,8.316367857549345e-09,1.181093283705178e-09,127.51542,#2,02-04-2019
105,0.13165566057403927,2.3402803554797974e-06,7.709725989898896e-08,1.00815319389298,7.088244782569505e-09,9.046998558369352e-10,70.32206666666667,#2,02-04-2019
106,0.1235819594325124,1.980028055972873e-05,2.1587790978429522e-06,1.0072306380615241,1.4229942367462145e-05,7.131354707907291e-07,546.0243866666667,#2,02-04-2019
107,0.10176619848037224,9.498681887369666e-05,5.251197983287502e-06,1.0082728097752525,1.5090935150287978e-07,4.030451228564362e-08,4496.392746666666,#2,02-04-2019
108,0.09427933099831837,6.763080732323764e-05,5.628285970089795e-06,1.0481996843221146,3.5154510927256346e-08,3.132510925528559e-08,1775.95846,#2,04-04-2019
109,0.08659407710870613,9.125756955928694e-05,8.361560257675875e-06,1.0454032568969627,1.6269009089008652e-05,1.5314141803129158e-06,4125.1729866666665,#2,04-04-2019
110,0.10133526970048023,2.574676007191522e-06,2.0917871352889392e-07,1.046268523797304,8.05041558227737e-09,9.089064332752136e-10,54.34854,#2,04-04-2019
111,0.09150511210993888,2.5677391940585518e-05,2.910462771712646e-06,1.0462866632400702,7.3992105741572456e-09,9.078993065470743e-10,929.0725866666667,#2,04-04-2019
112,0.05052629015132438,8.750717069583298e-05,8.691372482953793e-06,1.0448404989058688,5.3122761153161486e-05,2.1301755440979176e-06,7660.09174,#2,04-04-2019
113,0.10227267208456413,3.2164108444518546e-07,2.0467684891154636e-08,1.0470546274553203,8.620389111876254e-09,1.0174707368365245e-09,34.03422666666667,#2,04-04-2019
114,0.10120318727313979,2.9646414460523224e-07,2.637155730119542e-08,1.04786181819414,8.077509739019022e-09,1.0681082151259246e-09,36.31592,#2,04-04-2019
115,0.10543830363453822,3.020346086840259e-06,1.1030275586748897e-07,1.04867749127786,7.508346046014155e-09,8.747769305820728e-10,93.51776,#2,04-04-2019
116,0.10897568712786784,1.0373242057220387e-06,6.194236014122539e-08,1.048774914765911,8.055396320702447e-09,9.29496247673067e-10,85.44416,#2,04-04-2019
117,0.1037307262186465,4.518322197061465e-06,2.4477144557889407e-07,1.0484667180124925,7.504958353746747e-09,7.654551485627926e-10,263.9327666666667,#2,04-04-2019
118,0.1037970015512815,1.9693370225396373e-06,1.3003085334302437e-07,1.048192653783095,8.654783773400478e-09,1.104633942162314e-09,103.85654,#2,04-04-2019
119,0.1031446271915991,2.3697452876036636e-07,1.5608829858468027e-08,1.048119149343732,7.891060000727916e-09,9.74732123296385e-10,57.96824,#2,04-04-2019
120,0.10280227413693396,4.425002074141947e-06,1.7679651733000106e-07,1.0481991921237241,7.29052984040649e-09,7.978362628839361e-10,128.23171333333335,#2,04-04-2019
121,0.10266912827188233,6.066553235350872e-06,7.911826155162282e-07,1.0484169222900355,7.672594311223034e-09,8.906647003575023e-10,531.53276,#2,04-04-2019
122,0.10237090417114537,7.310328925417471e-06,1.6944954464521198e-07,1.0486966677106921,7.718278919089045e-09,8.163813507294745e-10,112.52032,#2,04-04-2019
123,0.09958676959815412,1.0607012869584733e-05,9.114349418371113e-07,1.048493528586735,6.641924387326611e-09,6.552475883200651e-10,169.62386666666666,#2,04-04-2019
124,0.07860822543571189,0.00011392144440948599,8.307964761960452e-06,1.048093772978042,4.171025529101424e-06,3.972432589193577e-07,4970.91464,#2,04-04-2019
125,0.1060162799651228,1.136954010900875e-06,3.348343450677261e-07,1.048274885398952,8.356420606833806e-09,9.470604135684011e-10,164.865,#2,04-04-2019
126,0.10277606389181733,1.511176013108557e-07,4.949821117614086e-08,1.0474834963178012,7.570925213595345e-09,8.65510593431749e-10,118.77257333333333,#2,04-04-2019
