,Unnamed: 0,Channel 1 Power,Channel 1 Power 1-4,Channel 1 Power 4-8,Channel 2 Power,Channel 2 Power 1-4,Channel 2 Power 4-8,Acceleration,Subject,Record
0,0,0.00023501057601587819,8.422808084562177e-10,3.9710713088657877e-10,0.94095554279641,0.002477087130128443,0.00019969361009108047,6265.288253333332,S5,Day 1
1,1,0.0005629708648453805,8.610277612473655e-10,4.2966161188114564e-10,0.9475121816881704,0.0013030014945430177,0.00020783197125710112,7394.033293333333,S5,Day 1
2,2,0.0007241400846954505,1.972252739919961e-09,1.1395967205307647e-09,0.9637656229321144,3.271581898602539e-05,3.066092159299584e-06,539.9773066666667,S5,Day 1
3,3,0.0008743254418587626,3.000980208197825e-09,1.691805996918024e-09,0.9625191496831312,7.37977291379588e-09,1.1881306112907328e-09,30.975233333333332,S5,Day 1
4,4,0.0009896434793159703,2.0324072668769155e-09,1.3628899482573974e-09,0.9609883270186252,6.35329752219765e-09,8.659166898714782e-10,93.11387333333332,S5,Day 1
5,5,0.000987542824258561,6.680749251429861e-10,3.809507849424168e-10,0.9327436713946016,0.0009160041040771508,0.0001166813925245402,5063.58072,S5,Day 1
6,6,0.0009861631755745416,8.009255921451688e-10,4.984757358488286e-10,0.953890359399518,0.00021986312827356876,2.8114265084624914e-05,3020.7238,S5,Day 1
7,7,0.0009951577940026759,1.7996822126718751e-09,1.00624209341379e-09,0.9602495127111867,7.556540345045543e-06,1.1160275966148228e-06,2211.07858,S5,Day 1
8,8,0.0010329755042457586,2.9833533697065667e-09,1.6704669132991236e-09,0.9611305482836386,7.3793525029286455e-09,1.1206904456255599e-09,229.76762000000002,S5,Day 1
9,9,0.0010898581819371565,3.4303438150076354e-09,1.8192478321304307e-09,0.9608675875341224,7.845854771435296e-09,1.1561624906707986e-09,42.43136666666667,S5,Day 1
10,10,0.0011376389080447141,2.9177433219459674e-09,1.7211933678420614e-09,0.9605371558108832,7.0922788209324525e-09,1.03122419164991e-09,33.803106666666665,S5,Day 1
11,11,0.0011645772784754664,2.4925885601284704e-09,1.408446727862372e-09,0.9606816194304696,6.492669391663969e-09,9.198519231194183e-10,221.30616666666666,S5,Day 1
12,12,0.0012352091354849938,1.551974507424827e-09,1.0414927147313608e-09,0.9606342113917979,5.5770619883094465e-09,6.544098277872108e-10,75.4389,S5,Day 1
13,13,0.0012810403065830302,1.394697232909668e-09,9.31917054111408e-10,0.9607924588849666,5.29752421976272e-09,5.766441655593279e-10,29.696546666666666,S5,Day 1
14,14,0.0012872502172546856,1.6122905290174074e-09,1.0193551902343547e-09,0.9612065393435202,5.623589276240021e-09,6.785476009369285e-10,53.70756666666666,S5,Day 1
15,15,0.0012508227587509752,2.3304453954551977e-09,1.2493779921755098e-09,0.9613732891115984,6.098905913666457e-09,8.550487984821221e-10,8.284360000000001,S5,Day 1
16,16,0.0012601359338472481,1.6562462221461185e-09,1.000763321426086e-09,0.9607275055244714,1.6310119511834837e-05,9.96193651819572e-07,33.978973333333336,S5,Day 1
17,17,0.0013138367412494395,2.136839539404488e-09,1.23317572611891e-09,0.9614513148177228,6.089958225412771e-09,8.259941456649862e-10,26.39053333333333,S5,Day 1
18,18,0.001359805182838574,1.7925753641412248e-09,9.675752758514476e-10,0.9614065687022472,5.9328378884126345e-09,6.728441663769783e-10,36.62756666666667,S5,Day 1
19,19,0.001378499668647504,2.0306552940759192e-09,1.1708095464327334e-09,0.9614728270835466,6.163252791431102e-09,8.064285457890685e-10,33.19912,S5,Day 1
20,20,0.001368411924010771,2.4162464612573147e-09,1.2981251098752385e-09,0.9616775537774106,6.8664450607951864e-09,9.487048803155914e-10,29.247040000000002,S5,Day 1
21,21,0.001372112592341661,2.6854614737550882e-09,1.4566828855982484e-09,0.9615085022314318,7.152645278943336e-09,1.0259420962341177e-09,32.51379333333333,S5,Day 1
22,22,0.0013440502751832645,2.434242208218097e-09,1.437805066654782e-09,0.9614659104464416,6.747141153870594e-09,9.533657363265067e-10,44.69510666666667,S5,Day 1
23,23,0.0012841792851629426,3.123144142120973e-09,1.5600075671870946e-09,0.96150511755907,7.856101375587121e-09,1.1440981762926974e-09,43.71190666666666,S5,Day 1
24,24,0.0012335711915615064,4.396472477667777e-09,2.0641714162127528e-09,0.9619714585353952,9.290871027033878e-09,1.4109917954205239e-09,17.430613333333334,S5,Day 1
25,25,0.001236510594109149,2.847776428749368e-09,1.5444765322843774e-09,0.9625798174890244,6.867710579881421e-09,1.114996513401701e-09,37.99612666666667,S5,Day 1
26,26,0.0013287823203718845,2.6397037535487085e-09,1.5573746345458247e-09,0.9632507049684688,7.070330086252481e-09,1.061885789190286e-09,34.21593333333333,S5,Day 1
27,27,0.0014018570767903213,3.622165143633913e-09,1.986724162581931e-09,0.9633778477332324,7.979173780824568e-09,1.2630392119655575e-09,27.80244666666667,S5,Day 1
28,28,0.0014172261551210286,3.1227967946939464e-09,1.7839649273785558e-09,0.9636180907732932,7.301470298125371e-09,1.1281379800393116e-09,27.0962,S5,Day 1
29,29,0.001419130568310132,2.790689463751198e-09,1.7647543679017436e-09,0.9636287703368231,7.074013748322367e-09,1.1475086345391007e-09,28.6017,S5,Day 1
30,30,0.0014488459611082785,2.8719208493543897e-09,1.6504529712713613e-09,0.96403041289458,7.151043562987558e-09,1.0546465035897759e-09,28.02938,S5,Day 1
31,31,0.0014703979506872967,2.9263132925180957e-09,1.869677628003502e-09,0.964568570640828,7.119846429082878e-09,1.109322117497845e-09,22.71934666666667,S5,Day 1
32,32,0.0014562897845410321,2.2003628109447093e-09,1.4765316779244941e-09,0.9648674483093066,9.659620092483194e-06,7.206054255564761e-07,160.37538666666666,S5,Day 1
33,33,0.0013973687477552195,6.739699525306331e-10,4.939444315985884e-10,0.9636443441533218,0.00017844028825833285,1.119442730690267e-05,1065.79606,S5,Day 1
34,34,0.0013736746574260286,3.7972003144571966e-09,1.7100237783453945e-09,0.9700993835924859,9.127459873335508e-07,3.6184349447065456e-08,581.7457333333333,S5,Day 1
35,35,0.001414757122011135,3.9730268825183316e-09,1.8855384502216803e-09,0.9705648032332256,8.000358694654141e-09,1.1423129572164925e-09,13.324053333333335,S5,Day 1
36,36,0.0006931872510745001,6.417103329461819e-10,4.071454686802521e-10,0.027096806504415358,9.015586181308361e-10,3.6965610533311423e-10,154.01782666666668,S5,Day 2
37,37,0.0008829292149432963,5.249711624036887e-10,4.776342733000194e-10,0.028996968562968874,7.535709361833152e-10,4.614936511615064e-10,6026.56808,S5,Day 2
38,38,0.0009199198448224617,6.281372869557419e-10,4.38758233150232e-10,0.02962035985608352,8.459516758376047e-10,4.250686904181462e-10,978.0627333333333,S5,Day 2
39,39,0.0009218144477833931,1.1743139580248899e-09,6.490831953972086e-10,0.030605971800030232,1.0455030728621698e-09,4.525213459214841e-10,35.31583333333333,S5,Day 2
40,40,0.0008869032576469881,2.4021723712079953e-09,1.3048065609503186e-09,0.03153435107154882,1.5844503377813956e-09,8.119238527271945e-10,18.18498,S5,Day 2
41,41,0.0008523820625954713,1.1241314411865163e-09,7.020498914923241e-10,0.03173208610360586,9.4377876313118e-10,5.02876508286536e-10,5915.4968266666665,S5,Day 2
42,42,0.0007910982458439522,4.6308376647935725e-10,4.671735010975501e-10,0.03123625477914292,7.305154997575154e-10,4.538947093235965e-10,9212.588106666666,S5,Day 2
