,Channel 1 Power,Channel 1 Power 1-4,Channel 1 Power 4-8,Channel 2 Power,Channel 2 Power 1-4,Channel 2 Power 4-8,Acceleration,Subject,Record
33,,,,,,,,L-Lactate_2018_03,14-03-2018
34,,,,,,,,L-Lactate_2018_03,14-03-2018
35,,,,,,,,L-Lactate_2018_03,14-03-2018
36,1.2627385516383576,0.009741619274695384,0.00010316967051167152,0.0021287559937884864,1.5335817060392226e-05,5.66867497932867e-11,2734.4125966666666,L-Lactate_2018_03,19-03-2018
37,1.2513369177840616,0.00998544046439629,0.00014656016582466434,0.0013052667234987483,9.403443421937672e-06,5.381274689344244e-11,6206.219523333333,L-Lactate_2018_03,19-03-2018
38,1.2450714940236054,0.009773052626244904,0.00046192417531884387,0.0013275677270363022,9.564411107789926e-06,1.3331108216703296e-10,5447.449363333333,L-Lactate_2018_03,19-03-2018
39,1.267475028694195,0.009131045587327387,3.490051685044817e-10,0.0011846283366763583,8.53501644461546e-06,2.2729279541199474e-10,7.77523,L-Lactate_2018_03,19-03-2018
40,1.2659301120534088,0.009119916548845383,2.9179569240196396e-10,0.0010228532353981517,7.369301285285836e-06,1.5888802870705277e-10,270.22539333333333,L-Lactate_2018_03,19-03-2018
41,1.2386739779491431,0.009623800078560984,3.9237568558653734e-05,0.0009209761122930325,6.63504673758803e-06,6.331149537932477e-11,1302.18019,L-Lactate_2018_03,19-03-2018
42,1.260314387146702,0.00908266435327259,2.649026517247578e-07,0.0007724784062313127,5.565747511651683e-06,1.865235926691925e-10,204.40024333333332,L-Lactate_2018_03,19-03-2018
43,1.259388289789145,0.009072786768555222,3.110980728245747e-10,0.0007386100243970648,5.321734766308824e-06,1.97200358261758e-10,77.17340666666666,L-Lactate_2018_03,19-03-2018
44,1.2548072488028328,0.009039785962159957,3.4624747040472993e-10,0.000710512042143472,5.119519559351141e-06,2.2933934039111184e-10,16.305263333333333,L-Lactate_2018_03,19-03-2018
45,1.2530768295120398,0.00902731953429265,3.0057504699137204e-10,0.0006564827473299161,4.730164422013286e-06,1.9751708789130002e-10,11.27099,L-Lactate_2018_03,19-03-2018
46,1.2555950857598595,0.009073199872412438,1.903256863114667e-06,0.0006419435067450672,4.625334992642824e-06,1.6782752495667028e-10,1185.21886,L-Lactate_2018_03,19-03-2018
47,1.2587569248149506,0.009068646890151522,6.684720618838936e-08,0.0006441830488891328,4.641504605187538e-06,1.9060814617459358e-10,32.99878666666667,L-Lactate_2018_03,19-03-2018
48,1.2482450185393381,0.008992510318323195,2.961413939667085e-10,0.0006678504550251932,4.8122984364098575e-06,2.328881311780621e-10,13.91617,L-Lactate_2018_03,19-03-2018
49,1.2451779291551155,0.008973072584833219,3.572292193189947e-08,0.0006754587312896151,4.866825200138045e-06,2.0394533651311272e-10,19.067623333333334,L-Lactate_2018_03,19-03-2018
50,1.2447274053320128,0.008967168761848407,3.003254310139031e-10,0.0006675796796688456,4.810017240885254e-06,2.148272513058101e-10,225.29242,L-Lactate_2018_03,19-03-2018
51,1.2421778797852239,0.008948802226398043,2.1402875484046705e-10,0.0006534649684273334,4.708036879410698e-06,1.4550910794700556e-10,18.098433333333332,L-Lactate_2018_03,19-03-2018
52,1.2408723494400726,0.008939396073799205,2.47921275623198e-10,0.0006599709263599597,4.755149994003234e-06,1.6895163712413298e-10,116.92439666666667,L-Lactate_2018_03,19-03-2018
53,1.2557241422857142,0.009046829894119033,2.6363546841429337e-07,0.0006375251625371127,4.593096063795595e-06,9.121374136957554e-11,1289.1022633333334,L-Lactate_2018_03,19-03-2018
54,1.2347335974072402,0.008895173543821286,2.8562518383018317e-10,0.0005975462309854192,4.305393226982227e-06,2.0027207131307616e-10,33.70482666666667,L-Lactate_2018_03,19-03-2018
55,1.2279614457696102,0.008848420713038208,6.04111248454743e-07,0.0005649959709404233,4.070778491641634e-06,1.525407357351445e-10,28.684556666666666,L-Lactate_2018_03,19-03-2018
56,1.224203108651348,0.008819308273534585,2.2281622938430953e-10,0.0005507352600828208,3.967985987352447e-06,1.4727136632104679e-10,19.035323333333334,L-Lactate_2018_03,19-03-2018
57,1.222712336228303,0.008808570453455565,3.1106868882640266e-10,0.0005254792614239886,3.7862696562408556e-06,2.1425203969134495e-10,57.252273333333335,L-Lactate_2018_03,19-03-2018
58,1.1421993594338982,0.008292679858595001,6.042495414634708e-06,0.0005280393976201174,3.804240599284133e-06,6.579358089193891e-11,967.23978,L-Lactate_2018_03,19-03-2018
59,0.02913036879715203,0.0002098591739834345,1.8466882992399136e-10,0.000560542040361453,4.038342681737524e-06,4.9655055130567256e-11,3080.4570633333333,L-Lactate_2018_03,19-03-2018
60,0.027812629237574656,0.00020036629809861906,3.683146755569995e-10,0.0005665844702341024,4.082060561699759e-06,9.576863512354391e-11,1008.7913,L-Lactate_2018_03,19-03-2018
61,0.026904492998028263,0.0001938241610521616,5.458430725317573e-10,0.0005608194525646924,4.040734246097519e-06,1.7274612284700014e-10,4.015866666666667,L-Lactate_2018_03,19-03-2018
62,0.026588584182021927,0.00019154883856247284,6.935091125240094e-10,0.0005555477492944686,4.003076197187048e-06,2.4501593601678477e-10,60.74202666666667,L-Lactate_2018_03,19-03-2018
63,0.026073134548616914,0.00018783467795717448,5.673888474223866e-10,0.000544877741920287,3.9258743321700025e-06,1.675527765243371e-10,6.6072033333333335,L-Lactate_2018_03,19-03-2018
64,0.0256496610394433,0.0001847842468748249,6.106809078980498e-10,0.0005287694257411148,3.8099811192549e-06,2.098061929816577e-10,4.43865,L-Lactate_2018_03,19-03-2018
65,0.025302223940115016,0.00018228129603890225,5.419413898270599e-10,0.0005296100617337499,3.815925662721845e-06,1.9440753462657087e-10,106.15257666666666,L-Lactate_2018_03,19-03-2018
66,0.025324869170665006,0.00018244413803749214,3.970022180264086e-10,0.0005438654352514773,3.9184643216068994e-06,1.4733105609389825e-10,42.52097333333333,L-Lactate_2018_03,19-03-2018
67,0.02498673776209453,0.00018000824791311463,6.205483421089995e-10,0.0005601028224092478,4.035686235156438e-06,2.2162246622119892e-10,11.314253333333333,L-Lactate_2018_03,19-03-2018
68,0.024839926874573984,0.0001789505577783919,5.006733589265308e-10,0.0005842762696984448,4.209617839952794e-06,1.5761834861853252e-10,17.070173333333333,L-Lactate_2018_03,19-03-2018
69,0.02457700926461656,0.00017705640700177474,3.960281730174085e-10,0.0006079207318103553,4.379979660072967e-06,1.4015240008733788e-10,397.56340666666665,L-Lactate_2018_03,19-03-2018
70,0.024601186082853634,0.000177230427317847,1.6909503951678724e-10,0.0006322604913056282,4.554995754681484e-06,4.148925772868071e-11,3494.0382933333335,L-Lactate_2018_03,19-03-2018
71,0.023344813609823732,0.00016818575194427044,3.0984372632379763e-09,0.0006408742589624515,4.617057792999509e-06,4.74488995388852e-11,6442.830353333334,L-Lactate_2018_03,19-03-2018
72,0.23459003281499274,0.0016900201790050653,9.21435917414063e-10,0.6120728435984851,0.004409450312373385,5.533769601019791e-10,1626.0043033333334,L-Lactate_2018_05,15-05-2018
73,0.2094770088885539,0.0015090992726907618,9.825832141968807e-10,0.524452721178307,0.0037782210519241586,5.316299436382304e-10,1231.8757666666668,L-Lactate_2018_05,15-05-2018
74,0.1916606096885871,0.0013807506959436246,1.1805025439216268e-09,0.4835785464948736,0.0034837630270991176,9.877387099553757e-10,15.557353333333333,L-Lactate_2018_05,15-05-2018
75,0.18337601292365724,0.001321064726335387,1.184725896205079e-09,0.4568063003501372,0.003290891080271476,9.729786925240656e-10,7.45212,L-Lactate_2018_05,15-05-2018
76,0.1752235968389816,0.0012623358242273433,1.224383343544544e-09,0.4360939083652277,0.0031416794149914614,9.465299083526816e-10,10.892886666666667,L-Lactate_2018_05,15-05-2018
77,0.16737811395452834,0.0012058139268449326,1.2244579651073092e-09,0.4198077420666244,0.003024346119188854,9.329983926627509e-10,11.153646666666667,L-Lactate_2018_05,15-05-2018
78,0.1600252698186864,0.0011528437614256282,1.2221018725436581e-09,0.4071493635400967,0.002933156897605663,8.739094118664433e-10,134.44385666666668,L-Lactate_2018_05,15-05-2018
79,0.1531343827003519,0.0011032018488562028,1.3852721325738824e-09,0.3943511744795731,0.0028409560668132346,1.0540005818734797e-09,4.3999266666666665,L-Lactate_2018_05,15-05-2018
80,0.14513460185984148,0.001045569274853071,1.2122340332406488e-09,0.38291604045157246,0.0027585762318717913,7.86322871475802e-10,227.62175,L-Lactate_2018_05,15-05-2018
81,0.13526738290325543,0.000974484278103845,6.9845074574442e-10,0.3730424815961266,0.00268744426525232,3.2245658153034587e-10,4754.934426666667,L-Lactate_2018_05,15-05-2018
82,0.12980094927780614,0.0009351023089221866,7.400253130916624e-10,0.3616425824087629,0.002605318444008882,3.957695677902114e-10,6086.39576,L-Lactate_2018_05,15-05-2018
83,0.13077212932391288,0.0009421011588761409,1.3442969404080538e-09,0.3535901154001993,0.002547309163898938,1.0174983538702616e-09,442.18652333333335,L-Lactate_2018_05,15-05-2018
84,0.1285616049223005,0.0009261756191525404,1.4502111120607723e-09,0.3411060879592722,0.0024573715066293243,1.0275255495085121e-09,23.36328333333333,L-Lactate_2018_05,15-05-2018
85,0.12584539647146722,0.000906607942247183,1.2869208900544181e-09,0.31520794770876487,0.0022707995000888093,8.59809227730127e-10,71.53153,L-Lactate_2018_05,15-05-2018
86,0.12244025311184012,0.000882076480664749,1.974321932839999e-09,0.28939994789050205,0.002084874114935011,1.0373812212710387e-09,10.420866666666667,L-Lactate_2018_05,15-05-2018
87,0.12145290571070448,0.0008749646248713232,1.4326131538745484e-09,0.26512683981875496,0.0019100092918959168,8.879091186606537e-10,9.22362,L-Lactate_2018_05,15-05-2018
88,0.1265371886164215,0.0009115911651149135,1.3504971837403894e-09,0.24613692863607914,0.0017732015774390322,9.026815029683839e-10,18.275586666666666,L-Lactate_2018_05,15-05-2018
89,0.129506408828718,0.0009329809248659023,1.193193912619265e-09,0.2332126500136086,0.0016800933119257172,6.801046276822094e-10,1846.03352,L-Lactate_2018_05,15-05-2018
90,0.12927817233279137,0.0009313368678055682,7.272770101537603e-10,0.2215602148396494,0.0015961470111332337,3.2066366767726983e-10,2921.3,L-Lactate_2018_05,15-05-2018
91,0.1259589262006281,0.0009074242816400986,5.904084326353159e-10,0.2065189052704769,0.0014877884034282785,3.4253088113232407e-10,6043.580943333333,L-Lactate_2018_05,15-05-2018
92,0.12669477951975544,0.0009127261773153875,1.1493556366120058e-09,0.19531615784380554,0.001407082472164531,6.974624227785055e-10,1888.3755266666667,L-Lactate_2018_05,15-05-2018
93,0.1258581151684695,0.0009066979301177588,5.759796538791964e-10,0.1856564609607777,0.0013374925931706515,3.0023202831573666e-10,4322.603643333333,L-Lactate_2018_05,15-05-2018
94,0.12381492832309593,0.000891978964799096,5.117355277296738e-10,0.17489041919759915,0.0012599326929618015,2.7984793671731373e-10,7933.883113333333,L-Lactate_2018_05,15-05-2018
95,0.12164875883371033,0.0008763729260478273,5.696270419247279e-10,0.16452192365874196,0.001185236381481914,2.564517909258767e-10,6834.3561666666665,L-Lactate_2018_05,15-05-2018
96,0.11960150951219316,0.0008616256019713839,1.1994451038046142e-09,0.15478838875729026,0.0011151159180716953,7.076276859349117e-10,2940.0798066666666,L-Lactate_2018_05,15-05-2018
97,0.11624419006862961,0.0008374392510373277,1.6363331951980882e-09,0.14603950715207345,0.0010520872607532323,8.028147283495932e-10,10.36839,L-Lactate_2018_05,15-05-2018
98,0.11124525816746879,0.0008014276892772635,1.4465411155077573e-09,0.13765482112136215,0.0009916843277356243,7.498449677878428e-10,9.51534,L-Lactate_2018_05,15-05-2018
99,0.10538939345701802,0.000759239376385346,1.5428131751998125e-09,0.12884586079595403,0.0009282223044314174,7.02452413907313e-10,45.46139,L-Lactate_2018_05,15-05-2018
100,0.09862803452957027,0.0007105298389998522,1.191863162801804e-09,0.11942862237281307,0.0008603793052915247,7.031331089584963e-10,687.28725,L-Lactate_2018_05,15-05-2018
101,0.09233023488965342,0.0006651599122000926,1.4498816880160803e-09,0.1102842662092118,0.0007945025203091883,7.471414250884432e-10,588.9688066666666,L-Lactate_2018_05,15-05-2018
