,Channel 1 Power,Channel 1 Power 1-4,Channel 1 Power 4-8,Channel 2 Power,Channel 2 Power 1-4,Channel 2 Power 4-8,Acceleration,Subject,Record
72,0.5946286985735438,3.862662163238099e-09,4.668516936066967e-10,1.4400000000018882,6.435666047922344e-09,1.1827587953096305e-11,232.80842666666666,#6-,15-04-2019
73,0.4193268944486857,2.3451043161841438e-09,7.135640827807627e-10,1.4389105230018413,5.1779949175257205e-05,1.0487801093841661e-05,3838.820153333333,#6-,15-04-2019
74,0.3445366921383094,2.009904928055738e-09,6.327584450320019e-10,1.4053182772029884,0.00017407946841618445,3.20167677152455e-05,9549.39136,#6-,15-04-2019
75,0.2932412251912842,1.8960469808475273e-09,6.005247729110186e-10,1.436889261601733,5.970353897936257e-05,1.0775388574425889e-05,9294.477526666667,#6-,15-04-2019
76,0.2706037188481812,1.7858112814716897e-09,6.057911410816718e-10,1.4400000000018882,6.435666047922344e-09,1.1827587953096305e-11,10184.906213333334,#6-,15-04-2019
77,0.25807534540717025,1.9548534780925524e-09,5.335955418419293e-10,1.436582757100486,5.285849035839461e-05,1.0108504201780303e-05,18512.84666,#6-,15-04-2019
78,0.25114787373951486,2.0063780093464403e-09,6.454921439797137e-10,1.4400000000018882,6.435666047922344e-09,1.1827587953096305e-11,6220.618526666667,#6-,15-04-2019
79,0.24617731322683242,1.919070817814644e-09,6.865362714836255e-10,1.4400000000018882,6.435666047922344e-09,1.1827587953096305e-11,7000.078726666667,#6-,15-04-2019
80,0.24025254137121746,1.8410237257784399e-09,6.330615058396156e-10,1.4332624316677591,3.872164965642697e-05,4.095315793909742e-06,11251.709306666668,#6-,15-04-2019
81,0.23513435100932295,1.821758987616282e-09,6.47643026133074e-10,1.4387140386223114,6.776805186105483e-05,6.712547456714177e-06,18645.11993333333,#6-,15-04-2019
82,0.23029458075825565,3.4556320194179985e-09,1.759725118671364e-09,1.4400000000018882,6.435666047922344e-09,1.1827587953096305e-11,177.77721333333332,#6-,15-04-2019
83,0.22681367454876677,2.5276873755060716e-09,1.2016869407675535e-09,1.4400000000018882,6.435666047922344e-09,1.1827587953096305e-11,814.09856,#6-,15-04-2019
84,0.22350064786535406,2.993420836950071e-09,1.2622001165009023e-09,1.4292498109988023,9.642302873760613e-05,2.106320887254948e-05,7665.540326666666,#6-,15-04-2019
85,0.22061726678840968,1.757044250405682e-09,5.364764574663945e-10,1.4334622542934126,0.00017349111689332776,2.9854433888471775e-05,18906.896693333332,#6-,15-04-2019
86,0.21773466979606226,1.7909274563672159e-09,4.609037752706378e-10,1.4400000000018882,6.435666047922344e-09,1.1827587953096305e-11,15345.708433333333,#6-,15-04-2019
87,0.21434930756008985,1.6863762391426103e-09,5.088437569956705e-10,1.4399836237364663,1.0310108769324593e-07,1.1854416354091159e-07,14382.45822,#6-,15-04-2019
88,0.21094743500972182,3.2266383481663034e-09,1.679833628315695e-09,1.4400000000018882,6.435666047922344e-09,1.1827587953096305e-11,286.3066666666667,#6-,15-04-2019
89,0.20707713313145965,2.7845981825081393e-09,1.3298840137016194e-09,1.4400000000018882,6.435666047922344e-09,1.1827587953096305e-11,1058.81422,#6-,15-04-2019
90,0.20379276904643803,2.078003649618719e-09,1.0474156758909593e-09,1.4400000000018882,6.435666047922344e-09,1.1827587953096305e-11,374.88165333333336,#6-,15-04-2019
91,0.2005971200757838,1.5383424637184112e-09,4.4589070259569453e-10,1.4376388919723615,3.427593517250359e-05,4.1721773916466956e-06,16167.15286,#6-,15-04-2019
92,0.19738000005922693,1.6115634567219e-09,3.9499422444060024e-10,1.4395089280025493,3.4823495174519114e-05,9.799318380123097e-07,14833.526606666666,#6-,15-04-2019
93,0.19358613394876575,2.462345981209512e-09,1.3320811110147732e-09,1.4400000000018882,6.435666047922344e-09,1.1827587953096305e-11,638.7766666666666,#6-,15-04-2019
94,0.19050793209570482,2.809509968560404e-09,1.4308964508199215e-09,1.4400000000018882,6.435666047922344e-09,1.1827587953096305e-11,101.17933333333333,#6-,15-04-2019
95,0.187343436992121,1.3534086988499522e-09,5.325178105021134e-10,1.4399735702946972,1.911150814724948e-07,2.245643416196598e-07,9047.785206666667,#6-,15-04-2019
96,0.18486890274868814,1.5154435054914442e-09,5.376840817073593e-10,1.4386775506407514,6.977188865943585e-05,2.0762644643797065e-05,17590.495246666665,#6-,15-04-2019
